Part,
Matek F405-HDTE,https://www.mateksys.com/?portfolio=f405-hdte
F450 flame wheel frame,https://www.amazon.com/gp/product/B07H3WDSX3/ref=ox_sc_act_title_1?smid=A3S8 HDX1Z449C4&psc=1
Emax Mt2213 935kv Brushless Motor,https://www.amazon.com/gp/product/B07D9367RZ/ref=ox_sc_act_image_2?smid=A2Q TZX14X1D97I&psc=1
1045 size props,
Aikon SEFM 30A High Voltage ESC with BLHeli_S Program ,https://www.buddyrc.com/products/aikon-sefm-30a-high-voltage-esc-with-blheli-s-progra m-on-sale?variant=30274337833046
3S LiPo batteries with Xt60 connectors,"https://www.amazon.com/HRB-3300mAh-Battery-Connector-Airplane/dp/B06XNMLYGR
/ref=sr_1_28?keywords=3s+lipo+battery&qid=1662409901&refinements=p_89%3AGen s+ace%7CHRB%7CTurnigy%7CVenom+Power%7CZeee&rnid=2528832011&s=toys-a nd-games&sr=1-28"
Transmitter,https://www.amazon.com/dp/B0744DPPL8/?coliid=I2AX3ZZTEXZQT8&colid=1WOY4M BNRW9Y0&psc=1&ref_=lv_cv_lig_dp_it
Receiver,https://www.amazon.com/dp/B0744DPPL8/?coliid=I2AX3ZZTEXZQT8&colid=1WOY4M BNRW9Y0&psc=1&ref_=lv_cv_lig_dp_it
GPS,Matek https://www.mateksys.com/?portfolio=m10-5883
Compass,Matek https://www.mateksys.com/?portfolio=m10-5883
Holybro Sik telemetry radio (915Mhz for USA),https://holybro.com/products/sik-telemetry-radio-v3
Optical flow (CX-OF compatible),https://newbeedrone.com/collections/all/products/holybro-pmw3901-optical-flow-sensor?variant=41109488140371
,https://holybro.com/products/pmw3901-optical-flow-sensor?_pos=1&_sid=50f585ff2&_ss=r
Mast to raise up gps,https://holybro.com/products/fixed-carbon-fiber-gps-mount?variant=42749655449789
Step down voltage regulator,https://www.getfpv.com/pololu-5v-5-5a-step-down-voltage-regulator.html?utm_source=google&utm_medium=cpc&utm_campaign=DM+-+NB+-+PMax+-+Shop+-+No-index+-+SM+-+ALL+%7C+Full+Funnel&utm_content=pmax_x&utm_keyword=&utm_matchtype=&campaign_id=20799936859&network=x&device=c&gc_id=20799936859&gad_source=1&gclid=CjwKCAjw7s20BhBFEiwABVIMrdKIEkceWtdbtz_25rnhmm24ZH-uGVvBRh_a_ZW_O12z3augi7vyuhoCr9AQAvD_BwE
,https://www.pololu.com/product/4091
IMX219-83 stereo camera,https://www.amazon.com/Binocular-IMX219-83-8Megapixels-Supports-Developer/dp/B0CNH8P715/ref=asc_df_B0CNH8P715/?tag=hyprod-20&linkCode=df0&hvadid=693308325592&hvpos=&hvnetw=g&hvrand=16207417400300444031&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013369&hvtargid=pla-2280435645500&psc=1&mcid=07db0a73dfe53549a72981a2e51a4326&gad_source=1
,"https://www.digikey.com/en/products/detail/seeed-technology-co.,-ltd/114992270/12396915?utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-12396915_sig-CjwKCAjw7s20BhBFEiwABVIMrQq_EsL0No0rYkKzCU97RUz3AgO-R1MUFogTh-AnxtfxGXzvlNO6XhoCURcQAvD_BwE&gad_source=1&gclid=CjwKCAjw7s20BhBFEiwABVIMrQq_EsL0No0rYkKzCU97RUz3AgO-R1MUFogTh-AnxtfxGXzvlNO6XhoCURcQAvD_BwE"
TeraRanger EVO 60m (can choose shorter distance one if desired),https://www.digikey.com/en/products/detail/terabee-sas/TR-EVO-60M-I2C/13682867
Spare XT60 female and male connectors,
FTDI uart to usb converter,https://www.amazon.com/DSD-TECH-SH-U09C5-Converter-Support/dp/B07WX2DSVB/ref=asc_df_B07WX2DSVB/?tag=hyprod-20&linkCode=df0&hvadid=693606546450&hvpos=&hvnetw=g&hvrand=2082212209618394637&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013369&hvtargid=pla-843971715062&psc=1&mcid=595df3f951ba33c89c4a9ce8e6952da1&gad_source=1
